（一東）粗成四字,（一東）誨爾童蒙
（一東）經書暇日,（一東）子史須通
（一東）重華大孝,（一東）武穆精忠
（一東）堯眉八彩,（一東）舜目重瞳
（一東）商王禱雨,（一東）漢祖歌風
（一東）秀巡河北,（一東）策據江東
（一東）太宗懷鷂,（一東）桓典乘驄
（一東）嘉賓賦雪,（一東）聖祖吟虹
（一東）鄴仙秋水,（一東）宣聖春風
（一東）愷崇鬥富,（一東）渾浚爭功
（一東）王倫使虜,（一東）魏絳和戎
（一東）恂留河內,（一東）何守關中
（一東）曾除丁謂,（一東）皓折賈充
（一東）田驕貧賤,（一東）趙別雌雄
（一東）王戎簡要,（一東）裴楷清通
（一東）子尼名士,（一東）少逸神童
（一東）巨伯高誼,（一東）許叔陰功
（一東）代雨李靖,（一東）止雹王崇
（一東）和凝衣缽,（一東）仁傑葯籠
（一東）義倫清節,（一東）展獲和風
（一東）佔風令尹,（一東）辯日兒童
（一東）敝履東郭,（一東）粗服張融
（一東）盧杞除患,（一東）彭寵言功
（一東）放歌漁者,（一東）鼓枻詩翁
（一東）韋文朱武,（一東）陽孝尊忠
（一東）倚閭賈母,（一東）投閣揚雄
（一東）梁姬值虎,（一東）馮後當熊
（一東）羅敷陌上,（一東）通德宮中
（二冬）漢稱七製,（二冬）唐羨三宗
（二冬）杲卿斷舌,（二冬）高祖傷胸
（二冬）魏公切直,（二冬）師德寬容
（二冬）禰衡一鶚,（二冬）路斯九龍
（二冬）純仁助麥,（二冬）丁固夢松
（二冬）韓琦芍葯,（二冬）李固芙蓉
（二冬）樂羊七載,（二冬）方朔三冬
（二冬）郊祁並第,（二冬）譚尚相攻
（二冬）陶違霧豹,（二冬）韓比雲龍
（二冬）洗兒妃子,（二冬）校士昭容
（二冬）彩鸞書韻,（二冬）琴操參宗
（三江）古帝鳳閣,（三江）刺史雞窗
（三江）亡秦胡亥,（三江）興漢劉邦
（三江）戴生獨步,（三江）許子無雙
（三江）柳眠漢苑,（三江）楓落吳江
（三江）魚山警植,（三江）鹿門隱龐
（三江）浩從床匿,（三江）崧避杖撞
（三江）劉詩瓿覆,（三江）韓文鼎扛
（三江）願歸盤谷,（三江）楊憶石淙
（三江）弩名克敵,（三江）城築受降
（三江）韋曲杜曲,（三江）夢窗草窗
（三江）靈征芻狗,（三江）詩禍花尨
（三江）嘉貞絲幔,（三江）魯直彩缸
（四支）王良策馬,（四支）傅說騎箕
（四支）伏羲畫卦,（四支）宣父刪詩
（四支）高逢白帝,（四支）禹夢玄彝
（四支）寅陳七策,（四支）光進五規
（四支）魯恭三異,（四支）楊震四知
（四支）鄧攸棄子,（四支）郭巨埋兒
（四支）公瑜嫁婢,（四支）處道還姬
（四支）允誅董卓,（四支）玠殺王夔
（四支）石虔矯捷,（四支）朱亥雄奇
（四支）平叔傅粉,（四支）弘治凝脂
（四支）伯俞泣杖,（四支）墨翟悲絲
（四支）能文曹植,（四支）善辯張儀
（四支）溫公警枕,（四支）董子下帷
（四支）會書張旭,（四支）善畫王維
（四支）周兄無慧,（四支）濟叔不痴
（四支）杜畿國士,（四支）郭泰人師
（四支）伊川傳易,（四支）覺範論詩
（四支）董昭救蟻,（四支）毛寶放龜
（四支）乘風宗愨,（四支）立雪楊時
（四支）阮籍青眼,（四支）馬良白眉
（四支）韓子孤憤,（四支）梁鴻五噫
（四支）錢昆嗜蟹,（四支）崔諶乞糜
（四支）隱之賣犬,（四支）井伯烹雌
（四支）枚皋敏捷,（四支）司馬淹遲
（四支）祖瑩稱聖,（四支）潘岳誠奇
（四支）紫芝眉宇,（四支）思曼風姿
（四支）毓會竊飲,（四支）諶紀成糜
（四支）韓康賣葯,（四支）周術茹芝
（四支）劉公殿虎,（四支）庄子塗龜
（四支）唐舉善相,（四支）扁鵲名醫
（四支）韓琦焚疏,（四支）賈島祭詩
（四支）康侯訓侄,（四支）良弼課兒
（四支）顏狂莫及,（四支）山器難知
（四支）懶殘煨芋,（四支）李泌燒梨
（四支）幹椹楊沛,（四支）焦飯陳遺
（四支）文舒戒子,（四支）安石求師
（四支）防年未減,（四支）嚴武稱奇
（四支）鄧雲艾艾,（四支）周曰期期
（四支）周師猿鵠,（四支）梁相鵷鴟
（四支）臨洮大漢,（四支）瓊崖小兒
（四支）東陽巧對,（四支）汝錫奇詩
（四支）啟期三樂,（四支）藏用五知
（四支）墮甑叔達,（四支）發瓮鍾離
（四支）一錢誅吏,（四支）半臂憐姬
（四支）王胡索食,（四支）羅友乞祠
（四支）召父杜母,（四支）雍友楊師
（四支）直言解發,（四支）京兆畫眉
（四支）美姬工笛,（四支）老婢吹篪
（五微）敬叔受餉,（五微）吳祜遺衣
（五微）淳于竊笑,（五微）司馬微譏
（五微）子房闢谷,（五微）公信採薇
（五微）卜商聞過,（五微）伯玉知非
（五微）仕治遠志,（五微）伯約當歸
（五微）商安鶉服,（五微）章泣牛衣
（五微）蔡陳善謔,（五微）王葛交飢
（五微）陶公運甓,（五微）孟母斷機
（六魚）少帝坐膝,（六魚）太子牽裾
（六魚）衛懿好鶴,（六魚）魯隱觀魚
（六魚）蔡倫造紙,（六魚）劉向校書
（六魚）朱雲折檻,（六魚）禽息擊車
（六魚）耿恭拜井,（六魚）鄭國穿渠
（六魚）國華取印,（六魚）添丁抹書
（六魚）細侯竹馬,（六魚）宗孟銀魚
（六魚）管寧割席,（六魚）和嶠專車
（六魚）渭陽袁湛,（六魚）宅相魏舒
（六魚）永和擁卷,（六魚）次道藏書
（六魚）鎮周贈帛,（六魚）虙子驅車
（六魚）廷尉羅雀,（六魚）學士焚魚
（六魚）冥鑒季達,（六魚）預識盧儲
（六魚）宋均渡虎,（六魚）李白乘驢
（六魚）倉頡造字,（六魚）虞卿著書
（六魚）班姬辭輦,（六魚）馮誕同輿
（七虞）西山精衛,（七虞）東海麻姑
（七虞）楚英信佛,（七虞）秦政坑儒
（七虞）曹公多智,（七虞）顏子非愚
（七虞）伍員覆楚,（七虞）勾踐滅吳
（七虞）君謨龍片,（七虞）王肅酪奴
（七虞）蔡衡辨鳳,（七虞）義府題烏
（七虞）蘇秦刺股,（七虞）李績焚須
（七虞）介誠狂直,（七虞）端不糊塗
（七虞）關西孔子,（七虞）江左夷吾
（七虞）趙抃攜鶴,（七虞）張翰思鱸
（七虞）李佳國士,（七虞）聶憫田夫
（七虞）善謳王豹,（七虞）直筆董狐
（七虞）趙鼎倔強,（七虞）朱穆專愚
（七虞）張侯化石,（七虞）孟守還珠
（七虞）毛遂脫穎,（七虞）終軍棄繻
（七虞）佐卿化鶴,（七虞）次仲為烏
（七虞）韋述杞梓,（七虞）盧植楷模
（七虞）士衡黃耳,（七虞）子壽飛奴
（七虞）直筆吳競,（七虞）公議袁樞
（七虞）陳勝輟鍤,（七虞）介子棄觚
（七虞）謝名蝴蝶,（七虞）鄭號鷓鴣
（七虞）戴和書簡,（七虞）鄭俠呈圖
（七虞）瑕丘賣葯,（七虞）鄴令投巫
（七虞）冰山右相,（七虞）銅臭司徒
（七虞）武陵漁父,（七虞）閩越樵夫
（七虞）漁人鷸蚌,（七虞）田父㕙盧
（七虞）鄭家詩婢,（七虞）郗氏文奴
（八齊）子晉牧豕,（八齊）仙翁祝雞
（八齊）武王歸馬,（八齊）裴度還犀
（八齊）重耳霸晉,（八齊）小白興齊
（八齊）景公禳慧,（八齊）竇儼佔奎
（八齊）卓敬馮虎,（八齊）西巴釋麑
（八齊）信陵捕鷂,（八齊）祖逖聞雞
（八齊）趙苞棄母,（八齊）吳起殺妻
（八齊）陳平多轍,（八齊）李廣成蹊
（八齊）烈裔刻虎,（八齊）溫嶠燃犀
（八齊）梁公訓雀,（八齊）茅容割雞
（九佳）禹鈞五桂,（九佳）王佑三槐
（九佳）同心向秀,（九佳）肖貌伯偕
（九佳）袁閎土室,（九佳）羊侃水齋
（九佳）敬之說好,（九佳）郭訥言佳
（九佳）陳瓘責己,（九佳）阮籍詠懷
（十灰）初平起石,（十灰）左慈擲杯
（十灰）名高麟閣,（十灰）功顯雲台
（十灰）朱熹正學,（十灰）蘇軾奇才
（十灰）淵明賞菊,（十灰）和靖觀梅
（十灰）雞黍張範,（十灰）膠漆陳雷
（十灰）耿弇北道,（十灰）僧孺西台
（十灰）準題華岳,（十灰）綽賦天台
（十灰）穆生決去,（十灰）賈鬱重來
（十灰）台烏成兆,（十灰）屏雀為媒
（十灰）平仲無術,（十灰）安道多才
（十灰）楊億鶴蛻,（十灰）竇武蛇胎
（十灰）湘妃泣竹,（十灰）鉏麑觸槐
（十灰）陽雍五壁,（十灰）溫嶠一台
（十一真）孔門十哲,（十一真）殷室三仁
（十一真）晏能處己,（十一真）鴻恥因人
（十一真）文翁教士,（十一真）朱邑愛民
（十一真）太公釣渭,（十一真）伊尹耕莘
（十一真）皋惟團力,（十一真）泌僅獻身
（十一真）喪邦黃浩,（十一真）誤國章惇
（十一真）鞅更秦法,（十一真）普讀魯論
（十一真）呂誅華士,（十一真）孔戮聞人
（十一真）暴勝持斧,（十一真）張綱埋輪
（十一真）孫非識面,（十一真）韋豈呈身
（十一真）令公請稅,（十一真）長孺輸緡
（十一真）白州刺史,（十一真）絳縣老人
（十一真）景行蓮幕,（十一真）謹選花裀
（十一真）郗超造宅,（十一真）季雅買鄰
（十一真）壽昌尋母,（十一真）董永賣身
（十一真）建安七子,（十一真）大歷十人
（十一真）香山詩價,（十一真）孫濟酤緡
（十一真）令嚴孫武,（十一真）法變張巡
（十一真）更衣範冉,（十一真）廣被孟仁
（十一真）筆床茶灶,（十一真）羽扇綸巾
（十一真）灌夫使酒,（十一真）劉四罵人
（十一真）以牛易馬,（十一真）改氏為民
（十一真）壙先表聖,（十一真）燈候沈彬
（十二文）謝敷處士,（十二文）宋景賢君
（十二文）景宗險韻,（十二文）劉輝奇文
（十二文）袁安臥雪,（十二文）仁傑望雲
（十二文）貌疏宰相,（十二文）腹負將軍
（十二文）梁亭竊灌,（十二文）曾圃誤耘
（十二文）張巡軍令,（十二文）陳琳檄文
（十二文）羊殖益上,（十二文）寧越彌勤
（十二文）蔡邕倒屣,（十二文）衛瓘披雲
（十二文）巨山龜息,（十二文）遵彥龍文
（十三元）傲倪昭諫,（十三元）茂異簡言
（十三元）金書夢玨,（十三元）紗護卜藩
（十三元）童恢捕虎,（十三元）古冶持黿
（十三元）何奇韓信,（十三元）香化陳元
（十三元）徐幹中論,（十三元）揚雄法言
（十三元）力稱烏獲,（十三元）勇尚孟賁
（十三元）八龍荀氏,（十三元）五豸唐門
（十三元）張瞻炊臼,（十三元）庄周鼓盆
（十三元）疏脫士簡,（十三元）博奧文元
（十三元）敏修未娶,（十三元）陳嶠初婚
（十三元）長公思過,（十三元）定國平冤
（十三元）陳遵投轄,（十三元）魏勃掃門
（十三元）孫璉織屨,（十三元）阮鹹曝褌
（十三元）晦堂無隱,（十三元）溈山不言
（十四寒）庄生蝴蝶,（十四寒）呂祖邯鄲
（十四寒）謝安折屐,（十四寒）貢禹彈冠
（十四寒）顗容王導,（十四寒）浚殺曲端
（十四寒）休那題碣,（十四寒）叔邵憑棺
（十四寒）如龍諸葛,（十四寒）似鬼曹瞞
（十四寒）爽欣御李,（十四寒）白願識韓
（十四寒）黔婁布被,（十四寒）優孟衣冠
（十四寒）長歌寧戚,（十四寒）鼾睡陳摶
（十四寒）曾參務益,（十四寒）龐德遺安
（十四寒）穆親杵臼,（十四寒）商化芝蘭
（十四寒）葛洪負笈,（十四寒）高鳳持竿
（十四寒）釋之結襪,（十四寒）子夏更冠
（十四寒）直言唐介,（十四寒）雅量劉寬
（十四寒）捋須何典,（十四寒）捉鼻謝安
（十四寒）張華龍鮓,（十四寒）閔貢豬肝
（十四寒）淵材五恨,（十四寒）郭奕三嘆
（十四寒）弘景作相,（十四寒）延祖棄官
（十四寒）二疏供帳,（十四寒）四皓衣冠
（十四寒）曼卿豪飲,（十四寒）廉頗雄餐
（十四寒）長康三絕,（十四寒）元方二難
（十四寒）曾辭溫飽,（十四寒）城忍飢寒
（十四寒）買臣懷綬,（十四寒）逄萌掛冠
（十四寒）循良伏湛,（十四寒）儒雅兒寬
（十四寒）歐母畫荻,（十四寒）柳母和丸
（十四寒）韓屏題葉,（十四寒）燕姞夢蘭
（十四寒）漂母進食,（十四寒）浣婦分餐
（十五刪）令威華表,（十五刪）杜宇西山
（十五刪）範增舉玦,（十五刪）羊祜探環
（十五刪）沈昭狂瘦,（十五刪）馮道痴頑
（十五刪）陳蕃下榻,（十五刪）郅惲拒關
（十五刪）雪夜擒蔡,（十五刪）燈夕平蠻
（十五刪）郭家金穴,（十五刪）鄧氏銅山
（十五刪）比幹受策,（十五刪）楊寶掌環
（十五刪）晏嬰能儉,（十五刪）蘇軾為慳
（十五刪）堂開洛水,（十五刪）社結香山
（十五刪）臘花齊放,（十五刪）春桂同攀
（下卷一 先）飛鳧葉令,（下卷一 先）駕鶴緱仙
（下卷一 先）劉晨採葯,（下卷一 先）茂叔觀蓮
（下卷一 先）陽公麾日,（下卷一 先）武乙射天
（下卷一 先）唐宗三鑒,（下卷一 先）劉寵一錢
（下卷一 先）叔武守國,（下卷一 先）李牧備邊
（下卷一 先）少翁致鬼,（下卷一 先）欒大求仙
（下卷一 先）彧臣曹操,（下卷一 先）猛相苻堅
（下卷一 先）漢家三傑,（下卷一 先）晉室七賢
（下卷一 先）居易識字,（下卷一 先）童烏預玄
（下卷一 先）黃琬對日,（下卷一 先）秦宓論天
（下卷一 先）元龍湖海,（下卷一 先）司馬山川
（下卷一 先）操誅呂布,（下卷一 先）臏殺龐涓
（下卷一 先）羽救巨鹿,（下卷一 先）準策澶淵
（下卷一 先）應融丸葯,（下卷一 先）閻敞還錢
（下卷一 先）範居讓誰,（下卷一 先）吳飲貪泉
（下卷一 先）薛逢羸馬,（下卷一 先）劉勝寒蟬
（下卷一 先）捉刀曹操,（下卷一 先）拂矢賈堅
（下卷一 先）晦肯負國,（下卷一 先）質願親賢
（下卷一 先）羅友逢鬼,（下卷一 先）潘谷稱仙
（下卷一 先）茂弘綀服,（下卷一 先）子敬青氈
（下卷一 先）王奇雁字,（下卷一 先）韓浦鸞箋
（下卷一 先）安之畫地,（下卷一 先）德裕籌邊
（下卷一 先）平原十日,（下卷一 先）蘇章二天
（下卷一 先）徐勉風月,（下卷一 先）棄疾雲煙
（下卷一 先）舜欽鬥酒,（下卷一 先）法主蒲韉
（下卷一 先）繞朝贈策,（下卷一 先）苻鹵投鞭
（下卷一 先）豫讓吞炭,（下卷一 先）蘇武餐氈
（下卷一 先）金台招士,（下卷一 先）玉署貯賢
（下卷一 先）宋臣宗澤,（下卷一 先）漢使張騫
（下卷一 先）胡姬人種,（下卷一 先）名妓書仙
（下卷二 蕭）藤王蛺蝶,（下卷二 蕭）摩詰芭蕉
（下卷二 蕭）卻衣師道,（下卷二 蕭）投筆班超
（下卷二 蕭）馮官五代,（下卷二 蕭）季相三朝
（下卷二 蕭）劉蕡下第,（下卷二 蕭）盧肇奪標
（下卷二 蕭）陵甘降虜,（下卷二 蕭）蠋恥臣昭
（下卷二 蕭）隆貧曬腹,（下卷二 蕭）潛懶折腰
